name,team,cmppct,tdpct,intpct,skpct,pacr,adjepacpoe,epaatt,anyatt,passrtg,year,mvp
Tom Brady,TB,67.16049383,5.679012346,1.604938272,3.456495828,0.921926134,0.125902318,0.172821934,7.220500596,100.7253086,2021,0
Ben Roethlisberger,PIT,64.56086287,3.697996918,1.540832049,5.805515239,0.904,0.032528093,-0.074288728,5.416545718,87.18220339,2021,0
Aaron Rodgers,GB,68.92857143,6.607142857,0.714285714,5.882352941,1.009771987,0.168571513,0.229781827,7.870588235,110.8630952,2021,1
Matt Ryan,ATL,66.96428571,3.571428571,2.142857143,6.666666667,0.991752062,0.070778578,0.014687128,5.923333333,90.38690476,2021,0
Matthew Stafford,LA,67.7462888,6.747638327,2.699055331,4.755784062,0.964739517,0.143656613,0.223457972,7.56940874,103.9389339,2021,0
Cam Newton,CAR,54.76190476,3.174603175,3.968253968,7.352941176,0.77904328,-0.045583971,-0.323662068,3.352941176,64.38492063,2021,0
Andy Dalton,CHI,63.13559322,3.389830508,3.813559322,7.086614173,0.922093731,0.014159038,-0.132258702,4.437007874,76.85381356,2021,0
Tyrod Taylor,HOU,60.66666667,3.333333333,3.333333333,7.975460123,0.872628726,0.032783964,-0.099170766,4.429447853,76.69444444,2021,0
Russell Wilson,SEA,64.75,6.25,1.5,7.621247113,0.78710493,0.092511128,0.041265078,7.106235566,103.0520833,2021,0
Kirk Cousins,MIN,66.31016043,5.882352941,1.247771836,4.753820034,0.922622951,0.107745814,0.12789587,7.417657046,103.1008616,2021,0
Ryan Tannehill,TEN,67.02702703,4.144144144,3.063063063,7.960199005,0.938300902,0.107055536,0.036323055,5.497512438,88.67492492,2021,0
Mike Glennon,NYG,53.89221557,2.395209581,5.988023952,5.113636364,0.652892562,-0.011298881,-0.484077625,2,49.73802395,2021,0
Teddy Bridgewater,DEN,66.90140845,4.225352113,1.643192488,6.783369803,0.89135514,0.128138926,0.136045943,6.315098468,94.92370892,2021,0
Derek Carr,LV,67.20588235,3.529411765,2.205882353,5.947441217,0.93066424,0.100737483,0.059199846,6.43153527,91.99754902,2021,0
Jimmy Garoppolo,SF,66.7961165,4.27184466,2.912621359,6.02189781,1.164255091,0.117857007,0.178298376,7.087591241,95.00404531,2021,0
Jameis Winston,NO,59.00621118,8.695652174,1.863354037,6.395348837,0.873134328,0.121592971,0.135468242,7.244186047,102.7562112,2021,0
Taylor Heinicke,WAS,64.97975709,4.048582996,3.036437247,7.142857143,0.90521578,0.052925025,-0.053676752,5.387218045,85.91430499,2021,0
Trevor Siemian,NO,57.44680851,5.85106383,1.595744681,4.568527919,0.865067466,0.032868771,-0.0356612,5.964467005,88.38652482,2021,0
Carson Wentz,IND,62.40310078,5.23255814,1.356589147,5.839416058,0.90362668,0.070375608,0.024896764,6.498175182,94.64631783,2021,0
Dak Prescott,DAL,67.76212833,5.946791862,1.72143975,5.192878338,0.943619583,0.097589518,0.148690299,7.097922849,101.8681534,2021,0
Jared Goff,DET,67.20647773,3.846153846,1.619433198,6.616257089,1.030813215,0.039007775,-0.058291667,5.642722117,91.5317139,2021,0
Jacoby Brissett,MIA,62.66666667,2.222222222,1.777777778,7.786885246,0.758722649,0.025021343,-0.106271206,4.389344262,78.06481481,2021,0
Taysom Hill,NO,58.20895522,2.985074627,3.731343284,6.293706294,0.99592668,0.020240445,-0.085333167,5.377622378,75.40422886,2021,0
Patrick Mahomes,KC,67.30769231,6.153846154,2.051282051,4.52876377,1.068309476,0.154968541,0.222738673,7.23255814,101.6346154,2021,0
Mike White,NYJ,66.66666667,3.787878788,6.060606061,2.941176471,1.226512227,0.072125339,0.02227408,4.963235294,75.09469697,2021,0
Lamar Jackson,BAL,64.39790576,4.188481675,3.403141361,9.047619048,0.816199377,0.084120087,0.050187699,5.778571429,86.96553229,2021,0
Baker Mayfield,CLE,60.52631579,4.066985646,3.110047847,9.327548807,0.824431663,0.048128323,-0.015685199,5.414316703,83.12400319,2021,0
Josh Allen,BUF,64.5480226,6.355932203,2.118644068,3.804347826,0.866220161,0.142174181,0.17083219,6.914402174,97.91666667,2021,0
Sam Darnold,CAR,59.85221675,2.216748768,3.201970443,7.936507937,0.85952381,-0.001650731,-0.1915433,4.349206349,71.94170772,2021,0
Kyler Murray,ARI,68.34951456,4.660194175,2.330097087,6.02189781,0.959413203,0.101664866,0.08613349,6.501824818,96.61407767,2021,0
Drew Lock,DEN,60.36036036,1.801801802,1.801801802,7.5,0.704565801,0.0234105,-0.083052644,5.708333333,80.42417417,2021,0
Daniel Jones,NYG,64.26592798,2.770083102,1.939058172,5.744125326,0.918305598,0.047797767,-0.034492746,5.621409922,84.81648199,2021,0
